,Neighborhood,MeanSale17,MeanSale13
0,Airport Sub,28121.0,13773.0
1,Arden Park,244500.0,50000.0
2,Aviation Sub,41075.0,36986.0
3,Bagley,58610.0,32598.0
4,Barton-McFarland,32127.0,32816.0
5,Belmont,27688.0,26462.0
6,Berg-Lahser,49654.0,24887.0
7,Bethune Community,28571.0,21725.0
8,Blackstone Park,29688.0,23962.0
9,Boston Edison,222731.0,43610.0
10,Boynton,18546.0,12868.0
11,Brightmoor,31571.0,53388.0
12,Brush Park,655766.0,121600.0
13,Buffalo Charles,37580.0,17193.0
14,Butler,37514.0,11218.0
15,Cadillac Community,15030.0,3410.0
16,Cadillac Heights,11759.0,12842.0
17,Campau/Banglatown,24840.0,8125.0
18,Carbon Works,82200.0,568722.0
19,Castle Rouge,27631.0,18301.0
20,Central Southwest,48391.0,48552.0
21,Chadsey Condon,336224.0,11506.0
22,Chalfonte,11836.0,4619.0
23,Chandler Park,34134.0,12626.0
24,Chandler Park-Chalmers,17590.0,42789.0
25,Claytown,38067.0,35328.0
26,College Park,30472.0,19298.0
27,Conant Gardens,20489.0,5262.0
28,Conner Creek,51887.0,404301.0
29,Conner Creek Industrial,1155900.0,560245.0
30,Core City,44944.0,5180.0
31,Corktown,371045.0,202512.0
32,Cornerstone Village,38335.0,20791.0
33,Crary/St Marys,43264.0,37850.0
34,Cultural Center,259631.0,435562.0
35,Davison,44969.0,5606.0
36,Davison-Schoolcraft,25056.0,11660.0
37,Delray,117259.0,795288.0
38,Denby,29253.0,21576.0
39,Detroit Golf,295500.0,169637.0
40,Dexter-Fenkell,105357.0,8917.0
41,Dexter-Linwood,29948.0,15272.0
42,Downtown,8169113.0,2167045.0
43,East Canfield,2600.0,22989.0
44,East English Village,61589.0,36960.0
45,East Village,33632.0,79540.0
46,Eastern Market,1333000.0,1554543.0
47,Eden Gardens,43702.0,11346.0
48,Elijah McCoy,4914980.0,24156.0
49,Eliza Howell,23083.0,21189.0
50,Elmwood Park,137907.0,299039.0
51,Evergreen Lahser 7/8,81446.0,23228.0
52,Evergreen-Outer Drive,34291.0,22354.0
53,Far West Detroit,33003.0,23324.0
54,Farwell,36931.0,11336.0
55,Fiskhorn,19459.0,17991.0
56,Fitzgerald/Marygrove,33405.0,16030.0
57,Five Points,56427.0,13787.0
58,Fox Creek,56108.0,8760.0
59,Franklin,9664.0,13252.0
60,Franklin Park,64769.0,60763.0
61,Garden Homes,33146.0,16460.0
62,Gateway Community,22174.0,190897.0
63,Gold Coast,150389.0,41254.0
64,Grand River-I96,20252.0,22164.0
65,Grand River-St Marys,93178.0,18221.0
66,Grandmont,79740.0,32616.0
67,Grandmont #1,59028.0,37749.0
68,Grant,77117.0,19661.0
69,Gratiot Town/Ketterring,57442.0,16960.0
70,Gratiot Woods,5250.0,3560.0
71,Gratiot-Findlay,24507.0,7741.0
72,Gratiot-Grand,46861.0,15983.0
73,Greektown,3072000.0,975400.0
74,Green Acres,119340.0,53983.0
75,Greenfield,36874.0,13804.0
76,Greenfield Park,1202.0,28268.0
77,Greenfield-Grand River,43234.0,24286.0
78,Greenwich,49481.0,27899.0
79,Grixdale Farms,27023.0,30303.0
80,Happy Homes,7750.0,137950.0
81,Harmony Village,37243.0,178612.0
82,Hawthorne Park,13671.0,11229.0
83,Henry Ford,145878.0,12807.0
84,Herman Kiefer,42338.0,14967.0
